step,loss,accuracy,margin,lr,elapsed_s
1,0.693147,0.000000,0.000000,2.500000e-07,6.2
2,0.693075,0.562500,0.000144,5.000000e-07,12.3
3,0.692375,0.718750,0.001546,5.000000e-07,18.4
4,0.692106,0.750000,0.002085,5.000000e-07,24.4
5,0.690519,0.875000,0.005268,5.000000e-07,30.4
6,0.690311,0.875000,0.005687,5.000000e-07,36.3
7,0.690565,0.812500,0.005184,5.000000e-07,42.2
8,0.689817,0.843750,0.006681,5.000000e-07,48.2
9,0.688715,0.718750,0.008911,5.000000e-07,54.2
10,0.687599,0.906250,0.011163,5.000000e-07,60.2
11,0.687098,0.937500,0.012163,5.000000e-07,66.1
12,0.684536,0.875000,0.017335,5.000000e-07,72.0
13,0.687514,0.750000,0.011360,5.000000e-07,78.0
14,0.686580,0.812500,0.013237,5.000000e-07,84.1
15,0.686192,0.781250,0.014021,5.000000e-07,90.0
16,0.684985,0.843750,0.016455,5.000000e-07,95.9
17,0.685684,0.812500,0.015050,5.000000e-07,101.8
18,0.684279,0.875000,0.017893,5.000000e-07,107.7
19,0.684926,0.750000,0.016606,5.000000e-07,113.8
20,0.683729,0.781250,0.019034,5.000000e-07,119.7
21,0.680539,0.906250,0.025464,5.000000e-07,125.7
22,0.681542,0.781250,0.023564,5.000000e-07,131.8
