step,split,loss,perplexity,lr,tokens,elapsed_s
1,train,9.084656,8818.9294,3.000000e-07,16384,0.5
20,train,8.568380,5262.5993,6.000000e-06,327680,4.7
40,train,8.070455,3198.5556,1.200000e-05,655360,9.1
60,train,7.775209,2380.8419,1.800000e-05,983040,13.5
80,train,7.455228,1728.8787,2.400000e-05,1310720,22.1
100,train,7.021865,1120.8755,3.000000e-05,1638400,35.4
120,train,6.717385,826.6528,3.600000e-05,1966080,48.3
140,train,6.325153,558.4432,4.200000e-05,2293760,60.2
160,train,5.994884,401.3700,4.800000e-05,2621440,72.7
180,train,5.692762,296.7120,5.400000e-05,2949120,85.2
200,train,5.421983,226.3276,6.000000e-05,3276800,96.5
220,train,5.108412,165.4075,6.600000e-05,3604480,108.2
240,train,4.958932,142.4416,7.200000e-05,3932160,119.8
260,train,4.801799,121.7292,7.800000e-05,4259840,131.2
280,train,4.603824,99.8655,8.400000e-05,4587520,142.1
300,train,4.466274,87.0318,9.000000e-05,4915200,153.0
320,train,4.314749,74.7948,9.600000e-05,5242880,163.4
340,train,4.297140,73.4893,1.020000e-04,5570560,173.6
360,train,4.219095,67.9719,1.080000e-04,5898240,184.4
380,train,4.100786,60.3877,1.140000e-04,6225920,204.7
400,train,4.080761,59.1905,1.200000e-04,6553600,230.3
420,train,3.958875,52.3983,1.260000e-04,6881280,240.3
440,train,3.939124,51.3736,1.320000e-04,7208960,251.1
460,train,3.850940,47.0372,1.380000e-04,7536640,264.0
480,train,3.899738,49.3895,1.440000e-04,7864320,276.6
500,train,3.767098,43.2544,1.500000e-04,8192000,292.4
500,val,3.689221,40.0137,1.500000e-04,8192000,299.8
520,train,3.743516,42.2463,1.560000e-04,8519680,312.9
540,train,3.621222,37.3832,1.620000e-04,8847360,324.6
560,train,3.593532,36.3623,1.680000e-04,9175040,335.2
580,train,3.531520,34.1759,1.740000e-04,9502720,342.1
600,train,3.589022,36.1987,1.800000e-04,9830400,346.7
620,train,3.504561,33.2669,1.860000e-04,10158080,351.4
640,train,3.464611,31.9640,1.920000e-04,10485760,356.0
660,train,3.377921,29.3098,1.980000e-04,10813440,360.7
680,train,3.491117,32.8226,2.040000e-04,11141120,365.3
700,train,3.335742,28.0992,2.100000e-04,11468800,369.9
720,train,3.338916,28.1886,2.160000e-04,11796480,374.5
740,train,3.238062,25.4843,2.220000e-04,12124160,379.0
760,train,3.185589,24.1815,2.280000e-04,12451840,383.6
780,train,3.151963,23.3819,2.340000e-04,12779520,388.2
800,train,3.188913,24.2620,2.400000e-04,13107200,392.8
820,train,3.151338,23.3673,2.460000e-04,13434880,397.4
840,train,3.145769,23.2375,2.520000e-04,13762560,402.0
860,train,3.165786,23.7074,2.580000e-04,14090240,406.5
880,train,3.044177,20.9927,2.640000e-04,14417920,411.2
900,train,3.014306,20.3750,2.700000e-04,14745600,415.8
920,train,3.063559,21.4036,2.760000e-04,15073280,420.4
940,train,2.997196,20.0293,2.820000e-04,15400960,425.1
960,train,3.001587,20.1174,2.880000e-04,15728640,429.7
980,train,2.888556,17.9673,2.940000e-04,16056320,434.2
1000,train,2.884656,17.8974,3.000000e-04,16384000,438.8
1000,val,2.866797,17.5806,3.000000e-04,16384000,440.5
1020,train,3.021250,20.5169,2.999993e-04,16711680,445.2
1040,train,2.888938,17.9742,2.999972e-04,17039360,449.8
1060,train,2.866666,17.5783,2.999936e-04,17367040,454.3
1080,train,2.850043,17.2885,2.999885e-04,17694720,458.8
1100,train,2.985197,19.7904,2.999819e-04,18022400,463.3
1120,train,2.870478,17.6455,2.999739e-04,18350080,467.9
1140,train,2.791336,16.3028,2.999643e-04,18677760,472.5
1160,train,2.760805,15.8126,2.999533e-04,19005440,477.1
1180,train,2.720239,15.1839,2.999409e-04,19333120,481.7
1200,train,2.788371,16.2545,2.999269e-04,19660800,593.0
1220,train,2.702792,14.9213,2.999115e-04,19988480,602.8
1240,train,2.724217,15.2445,2.998946e-04,20316160,607.4
1260,train,2.839797,17.1123,2.998762e-04,20643840,612.1
1280,train,2.710322,15.0341,2.998564e-04,20971520,616.7
1300,train,2.672170,14.4713,2.998351e-04,21299200,621.3
1320,train,2.632331,13.9061,2.998123e-04,21626880,625.9
1340,train,2.629650,13.8689,2.997880e-04,21954560,630.6
1360,train,2.606756,13.5550,2.997622e-04,22282240,635.2
1380,train,2.684323,14.6483,2.997350e-04,22609920,639.8
1400,train,2.682252,14.6180,2.997063e-04,22937600,644.4
1420,train,2.655498,14.2321,2.996761e-04,23265280,649.0
1440,train,2.798250,16.4159,2.996445e-04,23592960,653.6
1460,train,2.563017,12.9749,2.996114e-04,23920640,658.2
1480,train,2.594562,13.3907,2.995768e-04,24248320,662.7
1500,train,2.594051,13.3839,2.995407e-04,24576000,667.3
1500,val,2.486896,12.0239,2.995407e-04,24576000,669.0
1520,train,2.587713,13.2993,2.995032e-04,24903680,673.8
1540,train,2.570090,13.0670,2.994642e-04,25231360,678.4
1560,train,2.500966,12.1943,2.994238e-04,25559040,683.0
1580,train,2.559993,12.9357,2.993818e-04,25886720,687.6
1600,train,2.469065,11.8114,2.993384e-04,26214400,692.2
1620,train,2.486374,12.0176,2.992935e-04,26542080,698.8
1640,train,2.595120,13.3982,2.992472e-04,26869760,708.1
1660,train,2.455740,11.6551,2.991994e-04,27197440,717.7
1680,train,2.517978,12.4035,2.991501e-04,27525120,727.7
1700,train,2.528739,12.5377,2.990993e-04,27852800,736.8
1720,train,2.428581,11.3428,2.990471e-04,28180480,745.9
1740,train,2.552453,12.8386,2.989934e-04,28508160,754.5
1760,train,2.435679,11.4236,2.989383e-04,28835840,763.8
1780,train,2.487715,12.0337,2.988817e-04,29163520,774.3
1800,train,2.450431,11.5933,2.988236e-04,29491200,784.6
1820,train,2.468911,11.8096,2.987641e-04,29818880,795.3
1840,train,2.477438,11.9107,2.987030e-04,30146560,805.5
1860,train,2.474019,11.8701,2.986406e-04,30474240,816.3
1880,train,2.419740,11.2429,2.985767e-04,30801920,826.6
1900,train,2.390172,10.9154,2.985113e-04,31129600,836.2
1920,train,2.374702,10.7478,2.984444e-04,31457280,845.5
1940,train,2.407635,11.1077,2.983761e-04,31784960,855.6
1960,train,2.311494,10.0895,2.983064e-04,32112640,866.5
1980,train,2.332161,10.3002,2.982351e-04,32440320,877.5
2000,train,2.466243,11.7781,2.981624e-04,32768000,888.1
2000,val,2.291383,9.8886,2.981624e-04,32768000,892.7
2020,train,2.353282,10.5200,2.980883e-04,33095680,903.8
2040,train,2.336524,10.3452,2.980127e-04,33423360,913.9
2060,train,2.363844,10.6317,2.979357e-04,33751040,924.5
2080,train,2.414475,11.1839,2.978572e-04,34078720,934.9
2100,train,2.314247,10.1173,2.977772e-04,34406400,945.8
2120,train,2.374090,10.7412,2.976958e-04,34734080,956.0
2140,train,2.272443,9.7031,2.976130e-04,35061760,965.2
2160,train,2.331519,10.2936,2.975287e-04,35389440,975.6
2180,train,2.345597,10.4395,2.974429e-04,35717120,986.6
2200,train,2.336346,10.3434,2.973557e-04,36044800,997.7
2220,train,2.420906,11.2560,2.972670e-04,36372480,1008.7
2240,train,2.311703,10.0916,2.971769e-04,36700160,1019.0
2260,train,2.441900,11.4949,2.970854e-04,37027840,1029.2
2280,train,2.304199,10.0161,2.969924e-04,37355520,1038.7
2300,train,2.352861,10.5156,2.968980e-04,37683200,1048.0
2320,train,2.235973,9.3556,2.968021e-04,38010880,1057.7
2340,train,2.418008,11.2235,2.967048e-04,38338560,1067.6
2360,train,2.272246,9.7012,2.966060e-04,38666240,1077.6
2380,train,2.303253,10.0067,2.965058e-04,38993920,1087.9
2400,train,2.323816,10.2146,2.964042e-04,39321600,1098.0
