step,split,loss,lr,epoch,elapsed_s
0,val,1.705448,0,0,0.0
20,train,1.755710,1.000000e-05,0,16.6
40,train,1.662526,2.000000e-05,0,32.4
60,train,1.694719,3.000000e-05,0,47.6
80,train,1.661528,4.000000e-05,0,62.6
100,train,1.649590,5.000000e-05,0,78.0
100,val,1.630933,5.000000e-05,0,81.4
120,train,1.795905,4.998477e-05,0,96.9
140,train,1.657130,4.993584e-05,0,109.8
160,train,1.740156,4.985325e-05,0,122.2
180,train,1.694225,4.973712e-05,0,134.4
200,train,1.715935,4.958763e-05,0,146.2
200,val,1.629673,4.958763e-05,0,148.0
220,train,1.749551,4.940499e-05,0,160.4
240,train,1.735300,4.918950e-05,0,173.2
260,train,1.708250,4.894145e-05,0,180.5
280,train,1.654500,4.866124e-05,0,185.0
300,train,1.763036,4.834928e-05,0,189.5
300,val,1.628343,4.834928e-05,0,191.0
320,train,1.685606,4.800604e-05,0,195.8
340,train,1.670471,4.763202e-05,0,200.2
360,train,1.719516,4.722781e-05,0,204.7
380,train,1.656104,4.679399e-05,0,209.2
400,train,1.654014,4.633123e-05,0,213.7
400,val,1.627918,4.633123e-05,0,215.3
420,train,1.738908,4.584021e-05,0,220.1
440,train,1.735009,4.532167e-05,0,224.6
460,train,1.651634,4.477639e-05,0,229.2
480,train,1.766539,4.420520e-05,0,233.6
500,train,1.709878,4.360894e-05,0,238.1
500,val,1.626161,4.360894e-05,0,239.7
520,train,1.691205,4.298850e-05,0,244.4
540,train,1.735791,4.234483e-05,0,248.9
560,train,1.680183,4.167889e-05,0,253.3
580,train,1.754218,4.099168e-05,1,258.2
600,train,1.675830,4.028422e-05,1,267.9
600,val,1.625088,4.028422e-05,1,270.0
620,train,1.623708,3.955757e-05,1,279.5
640,train,1.719343,3.881284e-05,1,288.5
660,train,1.682662,3.805114e-05,1,296.9
680,train,1.643927,3.727360e-05,1,305.3
700,train,1.692228,3.648140e-05,1,313.8
700,val,1.624125,3.648140e-05,1,315.4
720,train,1.692888,3.567572e-05,1,324.4
740,train,1.663319,3.485778e-05,1,332.5
760,train,1.676216,3.402880e-05,1,337.1
780,train,1.700893,3.319002e-05,1,341.5
800,train,1.727167,3.234271e-05,1,346.0
800,val,1.621419,3.234271e-05,1,347.6
820,train,1.571835,3.148812e-05,1,352.3
840,train,1.688514,3.062756e-05,1,356.9
860,train,1.655047,2.976230e-05,1,361.3
880,train,1.711105,2.889365e-05,1,365.7
900,train,1.700642,2.802291e-05,1,370.2
900,val,1.621519,2.802291e-05,1,371.8
920,train,1.597222,2.715138e-05,1,376.3
940,train,1.568600,2.628037e-05,1,383.2
960,train,1.737322,2.541120e-05,1,389.5
980,train,1.702657,2.454516e-05,1,394.0
1000,train,1.643635,2.368355e-05,1,398.5
1000,val,1.620094,2.368355e-05,1,400.2
1020,train,1.642027,2.282767e-05,1,408.9
1040,train,1.682541,2.197880e-05,1,417.3
1060,train,1.689835,2.113821e-05,1,425.7
1080,train,1.767216,2.030717e-05,1,434.1
1100,train,1.743098,1.948692e-05,1,438.6
1100,val,1.618036,1.948692e-05,1,440.2
1120,train,1.695368,1.867870e-05,1,446.5
1140,train,1.692686,1.788370e-05,1,454.5
1160,train,1.638760,1.710314e-05,2,462.5
1180,train,1.709145,1.633818e-05,2,470.5
1200,train,1.651393,1.558996e-05,2,478.6
1200,val,1.617603,1.558996e-05,2,480.3
1220,train,1.657378,1.485961e-05,2,489.3
1240,train,1.729412,1.414823e-05,2,494.7
1260,train,1.620954,1.345688e-05,2,499.2
1280,train,1.637995,1.278660e-05,2,503.7
1300,train,1.711764,1.213840e-05,2,508.2
1300,val,1.617235,1.213840e-05,2,509.8
1320,train,1.689029,1.151325e-05,2,514.5
1340,train,1.705562,1.091208e-05,2,522.5
1360,train,1.611776,1.033580e-05,2,527.1
1380,train,1.674918,9.785271e-06,2,531.6
1400,train,1.637007,9.261323e-06,2,536.1
1400,val,1.616231,9.261323e-06,2,537.7
1420,train,1.619203,8.764740e-06,2,542.4
1440,train,1.696999,8.296268e-06,2,546.9
1460,train,1.663252,7.856608e-06,2,551.3
1480,train,1.576760,7.446421e-06,2,555.8
1500,train,1.650831,7.066322e-06,2,560.4
1500,val,1.614933,7.066322e-06,2,562.0
1520,train,1.678558,6.716882e-06,2,566.7
1540,train,1.654287,6.398625e-06,2,571.2
1560,train,1.704713,6.112027e-06,2,575.7
1580,train,1.650998,5.857521e-06,2,580.1
1600,train,1.729216,5.635486e-06,2,584.6
1600,val,1.614446,5.635486e-06,2,586.2
1620,train,1.590301,5.446256e-06,2,590.8
1640,train,1.650304,5.290116e-06,2,595.3
1660,train,1.681244,5.167299e-06,2,599.7
1680,train,1.661351,5.077990e-06,2,604.2
1700,train,1.623683,5.022322e-06,2,608.8
1700,val,1.614435,5.022322e-06,2,610.4
1720,train,1.693240,5.000380e-06,2,615.1
1722,val,1.614180,5.000042e-06,2,617.2
